"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"1626","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rubicundus","0f32ffeb616dc633b658a11c70f6ef74"
"1627","Fungi","Ascomycota","Dothideomycetes","Venturiales","unidentified","unidentified","unidentified","8f2b98c096cf49bdad43426f55acff33"
"1628","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","unidentified","76f3d0850ae76786939f5600f5629dfe"
"1629","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Infundichalara","Infundichalara_minuta","9d4cfbd3ef1e63c4a624dce86c25fab9"
"1630","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_poae","685875aefdce20a41999a226e6f3bf02"
"1631","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","unidentified","86c429bd55bbe7955f30c8ea8d0f9590"
"1632","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae",NA,NA,"b1caa66f226e9154bee7a3b93f8fe196"
"1633","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","Myrmecridium_schulzeri","12273e5010e07d53aed1a9cb5f906ad3"
"1634","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber_separans","eee2d4e826cf711a0b9fac1e7d463bbd"
"1635","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Echria","unidentified","295db90eca6b53a57be6f5089b405ba8"
"1636","Fungi","Ascomycota",NA,NA,NA,NA,NA,"2c5ce91dea0e867f9b54f9bfd6c31dbd"
"1637","Fungi","Ascomycota",NA,NA,NA,NA,NA,"ee1aed13007572b165afd6b76d905c28"
"1638","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,"9047a0e5972441d96b9df31ee694dde3"
"1639","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA,"db7eb997c480050a70339e00d048e4d8"
"1640","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","9d45cf7ce030300e0a35fa2e395604be"
"1641","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena",NA,"7cb53881f150fdc2d6c7af6462754e36"
"1642","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA,"5b19b6ce88b2befeb4069468933ffa2e"
"1643","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"7f7b0912453b8b660dd4d3005d9f228e"
"1644","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","unidentified","106f582f46a0841c0306c3ca0165dd7a"
"1645","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"128bc3c207a3beb479b347123dc50118"
"1646","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","unidentified","736475d08f854a422398ff65b6215583"
"1647","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_stuposa","94f7a39b50ac687c610c44320755ce2c"
"1648","Fungi","Ascomycota",NA,NA,NA,NA,NA,"0bc37897a9c4768f1480ec3eac870428"
